neighborhood_name,classification_name,property_type_name,price,area
حي/الشرف الحصن الاعلى,تجاري,قطعة أرض,1378684,2750.12
حي/المحالة مدينة سلطان,سكني,قطعة أرض,600000,600
حي/المحالة مدينة سلطان,سكني,قطعة أرض,600000,600
حي/الموظفين,سكني,قطعة أرض,500000,400
حي/الهيام شمال العرين,سكني,شقة,375000,168.26
حي/ال ابو شوحطة بمدينة سلطان,سكني,قطعة أرض,95000,400
حي/الداره,سكني,قطعة أرض,500000,923
حي/العكاس وال زيدى طريق ال يوسف,تجاري,قطعة أرض,395000,625
حي/القاريه,سكني,قطعة أرض,310000,750
حي/المحالة مدينة سلطان,سكني,قطعة أرض,300000,760
حي/المروج بالمنسك,زراعي,شقة,735000,257.25
حي/الهيام شمال العرين,زراعي,شقة,580000,219.34
حي/الوصايف,سكني,قطعة أرض,400000,633
حي/رظف شمال و شرق مصلى العيدين,سكني,قطعة أرض,100000,369
حي/السوده,سكني,قطعة أرض,380000,450
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,900000,540.5
حي/المحاله,سكني,قطعة أرض,1550000,487
حي/المحاله,سكني,قطعة أرض,950000,1050
حي/المحاله,سكني,قطعة أرض,800000,750
حي/النميص بالمنسك,تجاري,قطعة أرض,600000,600
حي/النميص بالمنسك,تجاري,قطعة أرض,660000,600
حي/الهيام شمال العرين,زراعي,شقة,650000,249.4
حي/رضف,سكني,قطعة أرض,440000,1009
"حي/رميداء بنى مالك",سكني,قطعة أرض,970000,315
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,550000,399.01
حي/شمسان الشرقى,سكني,قطعة أرض,420000,400
حي/مدينة سلطان,سكني,شقة,1407900,365.83
حي/الحبيل,سكني,قطعة أرض,58000,640
حي/الداره,سكني,قطعة أرض,1325000,286
حي/المحالة مدينة سلطان,سكني,قطعة أرض,300000,700
حي/المحاله,سكني,قطعة أرض,722500,851.25
حي/الهيام شمال العرين,زراعي,شقة,790000,225.1
حي/الهيام شمال العرين,سكني,قطعة أرض,731700,737.5
حي/ذى النميص,سكني,قطعة أرض,808164,440
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,1150000,340
حي/سر العوفه,سكني,قطعة أرض,8000000,10063.25
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,460000,403.21
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,480000,420.78
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,550000,377.14
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,600000,405.2
حي/قرية العرين,سكني,قطعة أرض,300000,750
حي/مربه,سكني,قطعة أرض,40000,453.84
حي/المحالة مدينة سلطان,سكني,قطعة أرض,850000,750
حي/المحاله,تجاري,قطعة أرض,2500000,700
حي/المحاله,تجاري,قطعة أرض,2500000,700
حي/المحاله,سكني,قطعة أرض,550000,689.15
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,350000,275.85
حي/لعصان,سكني,شقة,589687,212.81
حي/مدينة سلطان,سكني,قطعة أرض,450000,727
حي/الهيام شمال العرين,سكني,قطعة أرض,800000,540
حي/بنى مالك,زراعي,أرض زراعية,28500000,426111
حي/حجلا,سكني,قطعة أرض,485700,450
حي/ذى النميص,سكني,قطعة أرض,530000,399
حي/شمال ابها,سكني,قطعة أرض,250000,710
حي/مدينة سلطان,سكني,قطعة أرض,550000,625
حي/ال غليظ,زراعي,أرض زراعية,50000,6958
حي/المحاله,سكني,شقة,454425,270.1
حي/حجلا,سكني,قطعة أرض,340000,440
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,600000,477.96
حي/قاعد,سكني,قطعة أرض,34000000,179323.59
حي/285 صلحلح الاثب,سكني,قطعة أرض,60000,600
حي/الخارجه بنى مالك,سكني,قطعة أرض,220000,360
حي/الشرف,سكني,قطعة أرض,400000,620
حي/المحالة مدينة سلطان,سكني,قطعة أرض,600000,1205
حي/المحالة مدينة سلطان,سكني,قطعة أرض,435000,825
حي/المحاله,سكني,قطعة أرض,3100000,650
حي/المحاله,سكني,قطعة أرض,600000,740
حي/المحاله,سكني,قطعة أرض,1100000,946.24
حي/المحاله,سكني,قطعة أرض,1100000,940.85
حي/حجلا,سكني,قطعة أرض,515000,434
حي/ذى النميص,سكني,قطعة أرض,550000,420
حي/شرق حى الموظفين,سكني,شقة,520000,222.81
حي/لعصان,سكني,شقة,572938,180
حي/مربه,سكني,قطعة أرض,100000,640
حي/الداره,سكني,قطعة أرض,666667,651
حي/المروج بالمنسك,سكني,قطعة أرض,800000,800
حي/لعصان,سكني,قطعة أرض,1012955,520
حي/الحضيرة علكم,سكني,قطعة أرض,200000,630
حي/الزهور,زراعي,شقة,475000,207.53
حي/الزهور,زراعي,شقة,465000,204.48
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,400000,750
حي/المحالة مدينة سلطان,سكني,قطعة أرض,940000,900
حي/المحاله,سكني,قطعة أرض,350000,600
حي/شمال ابها,سكني,قطعة أرض,100000,630
حي/مربه,سكني,قطعة أرض,2000000,27420.5
حي/ال غليظ,سكني,قطعة أرض,300000,750
حي/المحاله,سكني,قطعة أرض,700000,750
حي/جوحان,زراعي,شقة,670000,218.79
حي/حجلا,سكني,قطعة أرض,550000,490
حي/رظف شمال و شرق مصلى العيدين,سكني,قطعة أرض,600000,600
حي/سر العبب,سكني,قطعة أرض,560000,751.4
حي/الحصن الاسفل بالشرف,سكني,قطعة أرض,650000,272.6
حي/الخارجه بنى مالك,سكني,قطعة أرض,360000,741
حي/الداره,سكني,قطعة أرض,550000,600
حي/الداره,سكني,قطعة أرض,500000,798
حي/المروج بالمنسك,سكني,شقة,379752,185
حي/حجلا المسماه الحمراوين,سكني,قطعة أرض,700000,797.5
حي/حجلا المسماه الغيابة,تجاري,قطعة أرض,550000,600
حي/قاعد,سكني,قطعة أرض,400000,570
حي/أخرى,سكني,قطعة أرض,50000,784
حي/حجلا,سكني,قطعة أرض,200000,450
حي/1181/ 1427 /ع /1 /1 (المعدل)/س,زراعي,قطعة أرض,50000,525
حي/البصره,سكني,قطعة أرض,1500000,600
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,100000,550
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,350000,750
حي/طريق ال يوسف,سكني,قطعة أرض,200000,670
حي/مشيع,سكني,قطعة أرض,800000,600
حي/1181/ 1427 /ع /1 /1 (المعدل)/س,زراعي,قطعة أرض,50000,525
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,290000,730
حي/جوحان,سكني,قطعة أرض,670000,576
حي/حجلا,سكني,قطعة أرض,400000,450
حي/ال غليظ,سكني,قطعة أرض,950000,875
حي/الشرف,سكني,قطعة أرض,820000,400
حي/المحالة بمدينة سلطان,سكني,قطعة أرض,340000,750
حي/المحاله,سكني,قطعة أرض,602854,354.62
حي/المحاله,سكني,قطعة أرض,612000,360
حي/المحاله,زراعي,شقة,505000,215.36
حي/الهيام شمال العرين,زراعي,شقة,785000,223.68
حي/أخرى,سكني,قطعة أرض,55500,784
حي/ال غليظ,سكني,قطعة أرض,600000,600
حي/المحالة,سكني,قطعة أرض,600000,512.5
حي/المحالة مدينة سلطان,سكني,قطعة أرض,487500,560
حي/المروج بالمنسك,سكني,قطعة أرض,1200000,375
حي/حجلا,سكني,قطعة أرض,500000,416
حي/حجلا,سكني,قطعة أرض,450000,450
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,272.8
حي/علكم,زراعي,أرض زراعية,630000,1467
حي/لعصان,سكني,قطعة أرض,440000,400
حي/آل غليظ,سكني,قطعة أرض,900000,718.15
حي/ال جليحه,تجاري,قطعة أرض,50000,639
حي/الخارجه بنى مالك,سكني,قطعة أرض,430000,720
حي/العرين,سكني,قطعة أرض,1500000,750
حي/المحالة مدينة سلطان,سكني,شقة,460000,220.4
حي/المحالة مدينة سلطان,سكني,قطعة أرض,150000,750
حي/المحاله,سكني,قطعة أرض,2000000,556.38
حي/الهيام شمال العرين,زراعي,شقة,1000000,482.31
حي/الهيام شمال العرين,زراعي,شقة,1000000,482.31
حي/حجلا,سكني,قطعة أرض,230000,210
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,720
"حي/مشيع المكان المسمى المختباء",سكني,قطعة أرض,730000,517.5
"حي/مشيع المكان المسمى المختباء",سكني,قطعة أرض,600000,517.5
حي/الحضيرة علكم,سكني,قطعة أرض,200000,599.34
حي/المحالة مدينة سلطان,سكني,قطعة أرض,650000,600
حي/المحاله,سكني,قطعة أرض,500000,750
حي/حجلا,سكني,قطعة أرض,828000,450
حي/حجلا,سكني,قطعة أرض,440000,437.5
حي/حجلا,سكني,قطعة أرض,300000,450
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,720
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,735
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,383.63
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,329.08
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,354.6
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,750
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,360
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,720
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,750
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,712
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,742
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,300
حي/مربه,سكني,قطعة أرض,180000,800
حي/المحالة,زراعي,شقة,600000,235.1
حي/المحالة مدينة سلطان,زراعي,شقة,675000,227.8
حي/المحالة مدينة سلطان,سكني,قطعة أرض,800000,750
حي/شعب المضمام حجلا بنى مالك,سكني,قطعة أرض,300000,615.86
حي/444 بمسفره,سكني,قطعة أرض,100000,625
حي/المحالة,سكني,قطعة أرض,450000,593.85
حي/المروج بالمنسك,سكني,قطعة أرض,400000,287
حي/المنسك,سكني,شقة,397241,169.87
حي/الهيام شمال العرين,زراعي,شقة,650000,211.86
حي/حجلا,سكني,قطعة أرض,400000,450
حي/حجلا,سكني,قطعة أرض,360000,432
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,300000,750
حي/شعب عما بقرية ال جرجر بنى مالك,سكني,قطعة أرض,495000,426.72
حي/مشيع,سكني,قطعة أرض,740000,681.64
حي/وادى الشق,سكني,قطعة أرض,580000,521
حي/المحاله,سكني,قطعة أرض,830000,1045
حي/المنسك,سكني,قطعة أرض,1200000,750
حي/حجلا,سكني,قطعة أرض,550000,450
حي/حجلا,سكني,قطعة أرض,400000,450
حي/سر السريحه حجلا مدينة سلطان,سكني,قطعة أرض,150000,315.53
حي/أعلى وادى المريش هضبة بنى جرى الشرف,سكني,قطعة أرض,200000,288.9
حي/الخارجه بنى مالك,سكني,قطعة أرض,100000,750
حي/الهيام شمال العرين,زراعي,شقة,830000,236.55
حي/شامية ال عاصم,تجاري,قطعة أرض,220000,702.95
حي/لعصان,سكني,شقة,240649,118.95
حي/مربه,سكني,قطعة أرض,165000,800
حي/النميص بالمنسك,سكني,قطعة أرض,500000,500
حي/حجلا المسماه الحمراوين,سكني,قطعة أرض,600000,687.5
حي/حجلا المسماه الحمراوين,سكني,قطعة أرض,700000,700
حي/لعصان,سكني,قطعة أرض,1661500,345.7
حي/سر ثبته,سكني,قطعة أرض,600000,480
حي/شامية ال عاصم,سكني,قطعة أرض,350000,600
حي/مدينة سلطان,سكني,قطعة أرض,100000,450
حي/اعالى شعير الشرقى بحجلا,سكني,قطعة أرض,600000,737.05
حي/ال غليظ,سكني,قطعة أرض,800000,614.25
حي/الخشع,سكني,قطعة أرض,200000,461.96
حي/العرين,سكني,قطعة أرض,810000,787.5
حي/العكاس وال زيدى طريق ال يوسف,سكني,قطعة أرض,300000,650
